Route_State,Route_Volume,Average_Lead_Time,Lead_Time_Variability
Lot's O' Nuts → Ontario,28,1246.29,261.42
Lot's O' Nuts → Oregon,77,1245.19,269.88
Lot's O' Nuts → Pennsylvania,331,1315.06,260.48
Lot's O' Nuts → Prince Edward Island,6,1395.83,298.67
Lot's O' Nuts → Quebec,24,1334.12,298.55
Lot's O' Nuts → Rhode Island,30,1296.9,301.98
Lot's O' Nuts → South Carolina,21,1290.29,244.66
Lot's O' Nuts → South Dakota,9,1477.22,322.72
Lot's O' Nuts → Tennessee,109,1390.96,257.72
Lot's O' Nuts → Texas,569,1310.46,260.34
Lot's O' Nuts → Utah,29,1236.0,298.22
Lot's O' Nuts → Vermont,5,1492.4,200.29
Lot's O' Nuts → Virginia,109,1229.49,262.01
Lot's O' Nuts → Washington,269,1343.96,274.98
Lot's O' Nuts → West Virginia,2,1637.0,2.83
Lot's O' Nuts → Wisconsin,58,1367.64,242.38
Lot's O' Nuts → Wyoming,1,1274.0,
Secret Factory → Alabama,3,1272.33,366.5
Secret Factory → Alberta,2,1274.5,516.9
Secret Factory → Arizona,5,1127.4,327.53
Secret Factory → Arkansas,2,1456.5,259.51
Secret Factory → California,31,1308.29,288.26
Secret Factory → Colorado,7,1376.57,178.94
Secret Factory → Connecticut,1,1638.0,
Secret Factory → Delaware,1,909.0,
Secret Factory → Florida,7,1482.14,196.26
Secret Factory → Georgia,7,1377.86,347.51
Secret Factory → Illinois,13,1328.69,360.03
Secret Factory → Indiana,4,1456.25,209.87
Secret Factory → Kentucky,2,1637.5,0.71
Secret Factory → Louisiana,2,908.5,0.71
Secret Factory → Maryland,3,1517.67,211.03
Secret Factory → Massachusetts,2,1455.0,260.22
Secret Factory → Michigan,5,1346.2,306.52
Secret Factory → Minnesota,1,909.0,
Secret Factory → Mississippi,1,908.0,
Secret Factory → Nebraska,1,906.0,
Secret Factory → Nevada,2,1091.0,261.63
Secret Factory → New Hampshire,1,1641.0,
Secret Factory → New Jersey,2,1274.5,2.12
Secret Factory → New Mexico,2,906.0,2.83
Secret Factory → New York,24,1379.62,274.43
Secret Factory → North Carolina,4,1548.0,181.36
Secret Factory → Ohio,13,1301.23,314.93
Secret Factory → Oregon,2,1271.5,0.71
Secret Factory → Pennsylvania,19,1311.37,295.96
Secret Factory → Quebec,2,1273.5,516.9
Secret Factory → Rhode Island,3,1394.33,210.17
Secret Factory → South Carolina,1,909.0,
Secret Factory → Tennessee,3,1395.33,211.89
Secret Factory → Texas,16,1227.06,323.91
Secret Factory → Utah,1,1275.0,
Secret Factory → Vermont,1,1273.0,
Secret Factory → Virginia,5,1053.4,200.02
Secret Factory → Washington,11,1472.36,190.5
Secret Factory → Wisconsin,5,1346.4,163.57
Sugar Shack → Arizona,1,1274.0,
Sugar Shack → California,1,1638.0,
Sugar Shack → Connecticut,1,1641.0,
Sugar Shack → Delaware,1,910.0,
Sugar Shack → Florida,3,1031.0,211.31
Sugar Shack → Illinois,2,1089.0,257.39
Sugar Shack → Michigan,3,1395.0,212.18
Sugar Shack → New Jersey,1,1642.0,
Sugar Shack → New York,9,1314.11,285.41
Sugar Shack → Ohio,2,1637.5,3.54
Sugar Shack → Pennsylvania,3,1396.33,211.02
Sugar Shack → Rhode Island,1,1273.0,
Sugar Shack → Tennessee,1,1272.0,
Sugar Shack → Texas,3,1395.33,212.75
Sugar Shack → Washington,1,1638.0,
The Other Factory → Alabama,2,1457.0,257.39
The Other Factory → Arizona,2,1271.5,0.71
The Other Factory → California,21,1325.0,265.13
The Other Factory → Colorado,2,1273.5,2.12
The Other Factory → Connecticut,2,907.5,2.12
The Other Factory → Delaware,2,1456.5,260.92
The Other Factory → Florida,3,1029.33,212.75
The Other Factory → Georgia,2,1456.0,258.8
The Other Factory → Indiana,1,1274.0,
The Other Factory → Kentucky,2,1271.0,519.02
The Other Factory → Louisiana,1,907.0,
The Other Factory → Maryland,1,1274.0,
The Other Factory → Massachusetts,3,1150.67,211.02
The Other Factory → Missouri,1,1275.0,
The Other Factory → Nevada,1,1638.0,
The Other Factory → New Hampshire,2,1088.5,258.09
The Other Factory → New Jersey,3,1395.33,211.02
The Other Factory → New York,14,1351.93,326.82
The Other Factory → North Carolina,1,1635.0,
The Other Factory → Ohio,3,1272.0,1.73
The Other Factory → Oregon,2,1089.0,258.8
The Other Factory → Pennsylvania,7,1273.0,210.46
The Other Factory → Rhode Island,1,1273.0,
The Other Factory → South Carolina,1,1273.0,
The Other Factory → Tennessee,3,1395.67,211.61
The Other Factory → Texas,9,1191.56,304.52
The Other Factory → Virginia,4,1180.5,181.67
The Other Factory → Washington,4,1275.0,298.02
Wicked Choccy's → Alabama,22,1272.73,252.84
Wicked Choccy's → Alberta,8,1274.38,338.39
Wicked Choccy's → Arizona,105,1322.11,273.2
Wicked Choccy's → Arkansas,27,1273.52,303.38
Wicked Choccy's → British Columbia,4,1364.75,349.98
Wicked Choccy's → California,823,1320.33,262.5
Wicked Choccy's → Colorado,70,1319.84,256.2
Wicked Choccy's → Connecticut,31,1272.87,267.39
Wicked Choccy's → Delaware,49,1273.71,210.88
Wicked Choccy's → District of Columbia,2,1275.0,0.0
Wicked Choccy's → Florida,161,1305.09,250.27
Wicked Choccy's → Georgia,65,1346.15,251.88
Wicked Choccy's → Idaho,7,1325.0,328.43
Wicked Choccy's → Illinois,210,1329.13,266.26
Wicked Choccy's → Indiana,54,1402.46,257.77
Wicked Choccy's → Iowa,14,1403.79,272.0
Wicked Choccy's → Kansas,9,1314.0,337.84
Wicked Choccy's → Kentucky,58,1323.81,269.0
Wicked Choccy's → Louisiana,15,1272.27,337.93
Wicked Choccy's → Maine,2,908.0,0.0
Wicked Choccy's → Manitoba,10,1455.6,192.9
Wicked Choccy's → Maryland,41,1326.71,264.94
Wicked Choccy's → Massachusetts,54,1334.44,253.28
Wicked Choccy's → Michigan,100,1291.85,239.86
Wicked Choccy's → Minnesota,45,1330.69,310.76
Wicked Choccy's → Mississippi,22,1240.45,222.89
Wicked Choccy's → Missouri,29,1311.1,298.12
Wicked Choccy's → Montana,7,1221.86,389.9
Wicked Choccy's → Nebraska,14,1299.29,225.1
Wicked Choccy's → Nevada,12,1182.25,226.37
Wicked Choccy's → New Brunswick,4,1273.25,298.43
Wicked Choccy's → New Hampshire,11,1340.09,275.3
Wicked Choccy's → New Jersey,59,1335.39,216.57
Wicked Choccy's → New Mexico,17,1488.88,226.43
Wicked Choccy's → New York,436,1311.88,245.01
Wicked Choccy's → North Carolina,101,1352.76,261.44
Wicked Choccy's → North Dakota,2,1637.0,0.0
Wicked Choccy's → Nova Scotia,6,1272.67,326.91
Wicked Choccy's → Ohio,189,1313.35,267.57
Wicked Choccy's → Oklahoma,25,1332.0,250.49
Wicked Choccy's → Ontario,30,1248.57,286.49
Wicked Choccy's → Oregon,43,1316.16,242.41
Wicked Choccy's → Pennsylvania,227,1339.22,263.67
Wicked Choccy's → Prince Edward Island,4,1457.0,211.31
Wicked Choccy's → Quebec,24,1243.58,322.09
Wicked Choccy's → Rhode Island,21,1359.67,280.1
Wicked Choccy's → Saskatchewan,2,1457.0,258.8
Wicked Choccy's → South Carolina,19,1234.21,240.9
Wicked Choccy's → South Dakota,3,1152.0,422.62
Wicked Choccy's → Tennessee,67,1393.76,241.36
Wicked Choccy's → Texas,388,1315.61,272.94
Wicked Choccy's → Utah,23,1273.48,290.6
Wicked Choccy's → Vermont,5,1418.6,200.29
Wicked Choccy's → Virginia,106,1238.88,254.77
Wicked Choccy's → Washington,221,1375.72,270.8
Wicked Choccy's → West Virginia,2,1639.0,0.0
Wicked Choccy's → Wisconsin,47,1312.23,205.33
